,Адреса будинку,Адреса школи
0,"Україна, м.Київ, Подільський район, вул. Кирилівська, 117","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
1,"Україна, м.Київ, Подільський район, вул. Кирилівська, 119/1","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
2,"Україна, м.Київ, Подільський район, вул. Кирилівська, 121/2","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
3,"Україна, м.Київ, Подільський район, вул. Кирилівська, 123","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
4,"Україна, м.Київ, Подільський район, вул. Кирилівська, 127","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
5,"Україна, м.Київ, Подільський район, вул. Кирилівська, 127а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
6,"Україна, м.Київ, Подільський район, вул. Кирилівська, 129","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
7,"Україна, м.Київ, Подільський район, вул. Кирилівська, 129а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
8,"Україна, м.Київ, Подільський район, вул. Кирилівська, 131","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
9,"Україна, м.Київ, Подільський район, вул. Сирецька, 30/1","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
10,"Україна, м.Київ, Подільський район, вул. Сирецька, 32","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
11,"Україна, м.Київ, Подільський район, вул. Сирецька, 3234","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
12,"Україна, м.Київ, Подільський район, вул. Сирецька, 32/2","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
13,"Україна, м.Київ, Подільський район, вул. Сирецька, 36","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
14,"Україна, м.Київ, Подільський район, вул. Сирецька, 38","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
15,"Україна, м.Київ, Подільський район, вул. Сирецька, 38а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
16,"Україна, м.Київ, Подільський район, вул. Сирецька, 38в","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
17,"Україна, м.Київ, Подільський район, вул. Сирецька, 38г","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
