,A,B,C
0,ЗЗСО №2,вул. Кирилівська,117
1,ЗЗСО №2,вул. Кирилівська,119/1
2,ЗЗСО №2,вул. Кирилівська,121/2
3,ЗЗСО №2,вул. Кирилівська,123
4,ЗЗСО №2,вул. Кирилівська,127
5,ЗЗСО №2,вул. Кирилівська,127а
6,ЗЗСО №2,вул. Кирилівська,129
7,ЗЗСО №2,вул. Кирилівська,129а
8,ЗЗСО №2,вул. Кирилівська,131
9,ЗЗСО №2,вул. Сирецька,30/1
10,ЗЗСО №2,вул. Сирецька,32
11,ЗЗСО №2,вул. Сирецька,3234
12,ЗЗСО №2,вул. Сирецька,32/2
13,ЗЗСО №2,вул. Сирецька,36
14,ЗЗСО №2,вул. Сирецька,38
15,ЗЗСО №2,вул. Сирецька,38а
16,ЗЗСО №2,вул. Сирецька,38в
17,ЗЗСО №2,вул. Сирецька,38г
18,ЗЗСО №2,вул. Сирецька,40
19,ЗЗСО №2,вул. Сирецька,42/44
20,ЗЗСО №2,вул. Сирецька,44
21,ЗЗСО №2,вул. Сирецька,44а
22,ЗЗСО №2,вул. Сирецька,46
23,ЗЗСО №2,вул. Сирецька,46а
24,ЗЗСО №2,вул. Сирецька,48
25,ЗЗСО №2,вул. Сирецька,48а
26,ЗЗСО №2,вул. Сирецька,50
27,ЗЗСО №2,вул. Сирецька,52
28,ЗЗСО №2,вул. Сирецька,54
29,ЗЗСО №2,вул. Сирецька,56
30,ЗЗСО №2,вул. Сирецька,58
31,ЗЗСО №2,вул. Сирецька,58а
32,ЗЗСО №2,вул. Сирецька,60
33,ЗЗСО №2,вул. Сирецька,62
34,ЗЗСО №2,вул. Сирецька,64
35,ЗЗСО №2,вул. Сирецька,66
36,ЗЗСО №2,вул. Сирецька,68
37,ЗЗСО №2,вул. Сирецька,68а
38,ЗЗСО №2,вул. Сирецька,70
39,ЗЗСО №2,вул. Сирецька,72
40,ЗЗСО №2,вул. Сирецька,74
41,ЗЗСО №2,вул. Сирецька,76
42,ЗЗСО №2,вул. Сирецька,76а
43,ЗЗСО №2,вул. Сирецька,78а
44,ЗЗСО №2,вул. Сирецька,78в
45,ЗЗСО №2,вул. Сирецька,78г
46,ЗЗСО №2,вул. Сирецька,78Е
47,ЗЗСО №2,вул. Сирецька,80
48,ЗЗСО №2,вул. Сирецька,84
49,ЗЗСО №2,вул. Сирецька,86
50,ЗЗСО №2,вул. Сирецька,88
51,ЗЗСО №2,вул. Сирецька,92
52,ЗЗСО №2,вул. Сирецька,94/2
53,ЗЗСО №2,вул. Сирецька,96б
54,ЗЗСО №2,вул. Сирецька,96к3
55,ЗЗСО №2,вул. Сирецька,96д1
56,ЗЗСО №2,вул. Сирецька,96д2
57,ЗЗСО №2,вул. Сирецька,96д4
58,ЗЗСО №2,вул. Копилівська,65
59,ЗЗСО №2,вул. Копилівська,67
60,ЗЗСО №2,вул. Копилівська,67б
61,ЗЗСО №2,вул. Копилівська,"67,к.11"
62,ЗЗСО №2,вул. Копилівська,"67,к.12"
63,ЗЗСО №2,вул. Копилівська,"67,к.13"
64,ЗЗСО №2,вул. Копилівська,69
65,ЗЗСО №2,вул. Копилівська,69а
66,ЗЗСО №2,вул. Бондарська,1/4
67,ЗЗСО №2,вул. Бондарська,3
69,ЗЗСО №2,вул. Бондарська,5а
