,Широта будинку,Довгота будинку
0,50.4893332,30.4664612
1,50.4901758,30.4652395
2,50.4905557,30.4645405
3,50.4909658,30.4634152
4,50.4935296,30.4610249
5,50.4942728,30.4595299
6,50.4948184,30.459491
7,50.4948594,30.4588091
8,50.495545,30.4580532
9,50.4924709,30.4594485
10,50.4922716,30.4576709
11,50.4918587,30.4583302
12,50.4927514,30.4583226
13,50.4919408,30.4572746
14,50.491676,30.4566497
15,50.4921883,30.456263
16,50.4921672,30.4554491
17,50.4920889,30.4558362
18,50.4917584,30.4560557
19,50.4914852,30.4553824
20,50.4913733,30.4546519
21,50.4913733,30.4546519
22,50.4912527,30.4534113
23,50.4914103,30.454331
24,50.4913269,30.452923
25,50.4912935,30.4524215
26,50.4911609,30.4518011
27,50.4910614,30.4512203
28,50.4908462,30.4507318
29,50.4909934,30.4506481
30,50.4907013,30.4502696
31,50.4910195,30.4502086
32,50.4908953,30.4497904
33,50.4905148,30.4494117
34,50.4903618,30.4492091
35,50.4906466,30.4486463
36,50.4902829,30.4485185
37,50.4902829,30.4485185
38,50.4902125,30.4482611
39,50.4902329,30.4479202
40,50.4903815,30.4475596
41,50.4902657,30.4474979
42,50.4904102,30.447267
43,50.490054,30.4459559
44,50.4906286,30.4462403
45,50.4911033,30.4453278
46,50.4914873,30.4448069
47,50.4897689,30.4459799
48,50.4891951,30.445752
49,50.4892889,30.4450205
50,50.4893427,30.4446365
51,50.4892016,30.4443584
52,50.489123,30.4442066
53,50.487116,30.4400923
54,50.487116,30.4400923
55,50.487116,30.4400923
56,50.487116,30.4400923
57,50.487116,30.4400923
58,50.4899681,30.4627976
59,50.4908268,30.4610566
60,50.4901988,30.4613814
61,50.4908268,30.4610566
62,50.4908268,30.4610566
63,50.4908268,30.4610566
64,50.4916243,30.4605339
65,50.4916243,30.4605339
66,50.4931118,30.4591233
67,50.4929996,30.4588507
68,50.4935284,30.4584071
69,50.4937044,30.458449
70,50.4941562,30.4577744
71,50.494243,30.4577436
72,50.4946022,30.4570004
73,50.4951309,30.4564028
74,50.4929743,30.4579357
75,50.4926434,30.4572314
76,50.5118788,30.4215107
77,50.51151,30.420175
78,50.5107293,30.4196065
79,50.5109679,30.418392
80,50.5112641,30.4167462
81,50.5098098,30.4177757
82,50.5101307,30.4161212
83,50.5100406,30.416975
